id	item_group_id	title	description	link	image_link	availability	price	sale_price	brand	condition	identifier_exists	google_product_category	product_type
155654		Christmas At Lamplight – Nut Tin	NUT TINS PROUDLY MADE IN USA	https://candylandstore.com/shop/christmas-at-lamplight-nut-tin/	https://candylandstore.com/wp-content/uploads/2025/11/LAMPLIGHT-CHRISTMAS.jpg	in_stock	21.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Christmas > Christmas Sweets & Treats > Corporate Events
145923		Cinnamon Bears	These bears are full of cinnamon flavor. Before you even take a bite, the smell wafts towards you and dares you to try them in all their spicy glory.	https://candylandstore.com/shop/cinnamon-bears/	https://candylandstore.com/wp-content/uploads/2016/06/DSC_0023.jpg	in_stock	6.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Candy > Father's Day > Holidays
146351		Cinnamon Toffee Almonds	These almonds are an autumn classic. With rich cinnamon flavor, you’ll find yourself crunching away on these and thinking back to crunching leaves and crisp air. Ingredients: Sugar, Almonds, Cinnamon, Salt, Butter.	https://candylandstore.com/shop/cinnamon-toffee-almonds/	https://candylandstore.com/wp-content/uploads/2016/08/cinnamon-toffee-almonds-.jpg	in_stock	8.50 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	All Nuts > Candied Nuts > Candy
154405		Classic Licorice Swirl	Classic Licorice Swirl	https://candylandstore.com/shop/classic-licorice-swirl/	https://candylandstore.com/wp-content/uploads/2017/04/blackLicorice.png	in_stock	6.50 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Candy > Holidays
54336		Classic Snack Pack	The Perfect gift or A simple snack for you! Send them this delicious pack full of Candyland’s CLASSIC FLAVORS of popcorn that started in 1932! Perfect for Birthdays, Employee incentives, Get Well, Anniversaries & Thank you gifts. This pack includes three of our original 88+ year recipes Our Classic Caramel corn, Cheese, and seasoned popcorn (Peanut oil, salt) With these three classics blended, we created the Famous Chicago Mix®	https://candylandstore.com/shop/classic-snack-pack/	https://candylandstore.com/wp-content/uploads/2020/08/snack-pack-.jpg	in_stock	29.95 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bagged Popcorn - Corporate > Birthdays > Chicago Mix
3071		Coconut Bon-Bon	Coconut Bon-Bon	https://candylandstore.com/shop/coconut-bon-bon/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0132-1.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Chocolate Covered > Dark Chocolate > Fine Chocolates
3074		Coconut Clusters	Coconut Clusters	https://candylandstore.com/shop/coconut-haystack/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0116-1-e1473299854743.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Clusters > Dark Chocolate > Fine Chocolates
4924		Contemporary Ornaments – Nut Tins	Contemporary Ornaments – Nut Tins	https://candylandstore.com/shop/contemporary-ornaments/	https://candylandstore.com/wp-content/uploads/2016/10/Contemporary-Ornaments.jpg	in_stock	21.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Nut Tins > Nuts
146538		Cookie Dough Bites	The best part of a chocolate chip cookie is the chocolate chip. With Cookie Dough Bites, you get a sweet, doughy center coated in chocolate. Try them with a fresh, cold glass of milk today!	https://candylandstore.com/shop/cookie-dough-bites-2/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0990.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bulk Chocolate > Holidays
1213		Cotton Candy Taffy	Colorful pink Cotton Candy Taffy! Who needs that sticky cotton candy when you can pop a nice and neat, chewy, cotton candy flavored, salt water taffy right in your mouth. Mmm, oh so good!	https://candylandstore.com/shop/cotton-candy-taffy/	https://candylandstore.com/wp-content/uploads/2016/07/DSC_0004.jpg	in_stock	10.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Candy > Salt Water Taffy
146461		Creamy Chocolate	Creamy Chocolate	https://candylandstore.com/shop/creamy-chocolate/	https://candylandstore.com/wp-content/uploads/2024/01/creamy-chocoate-taffy.jpg	in_stock	6.50 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Candy > Holidays
78067		Crispy Caramel Cheese Popcorn Mix	Large kernels of fresh popcorn, totally encompassed in a rich delicious deep golden cheddar cheese mixed with Classic Caramel Corn. Yum. NUTRITION INFORMATION: Ingredients: Popcorn, Cheddar Cheese {Vegetable Oils (Soybean Oil, Palm Oil), Dehydrated Cheese Blend [Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt Enzymes), Cream, Salt, Sodium Phosphate, Yellow 5, Lactic Acid, Yellow 6]. Contains 2% or less of: Soy Lecithin. Contains: Milk, Soy.}, Peanut Oil, Salt. CHEESE POPCORN IS A GLUTEN FREE PRODUCT.	https://candylandstore.com/shop/crispy-caramel-cheese-popcorn-mix/	https://candylandstore.com/wp-content/uploads/2016/09/Untitled-design-28.png	in_stock	13.25 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bagged Popcorn
2348		Crystal Sticks	Add some color and creativity to any party or event with old fashioned Crystal Sticks! Offered in a wide variety of Colors & Flavors, Crystal sticks are sure to add that beautiful accent! Made from Pure Cane Sugar and artificial flavors.	https://candylandstore.com/shop/crystal-sticks/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030529_0053-1.jpg	in_stock	2.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Additional Sweets & Treats > Birthdays > Candy
3641		Dark Chocolate Drizzle Caramel Corn	Looking for popcorn that screams Rich & Decadent ?! Well, you’ve found it! It all starts with our Classic Caramel Popcorn, then drizzled with only the Finest Dark Chocolate! NUTRITION INFORMATION: Ingredients: Popcorn, Brown Sugar, Corn Syrup, Butter, Bicarbonate of Soda, Dark Chocolate (Sugar, Chocolate Liquor processed with Alkali, Cocoa Butter, Butterfat {Milk}, Soy Lecithin & Vanilla). May Contain: Peanuts & Tree Nuts. CHOCOLATE DRIZZLE CARAMEL POPCORN IS A GLUTEN FREE PRODUCT.	https://candylandstore.com/shop/dark-chocolate-drizzle-caramel-popcorn/	https://candylandstore.com/wp-content/uploads/2016/09/Dark-Chocolate-drizzle-.jpg	in_stock	14.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bagged Popcorn
4991		DARK Chocolate Jingle Bells	DARK Chocolate Jingle Bells	https://candylandstore.com/shop/dark-chocolate-jingle-bells/	https://candylandstore.com/wp-content/uploads/2016/10/Dark-Bells.jpg	in_stock	19.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Christmas > Christmas Sweets & Treats > Dark Chocolate
146693		Dark Chocolate Non-Pariels	These small discs have a minty crunch to them. Each bite releases a concoction of semi-sweet chocolate and cool, sweet mint, with small sugar beads adding a little texture. Ingredients: sugar, chocolate liquor, cocoa butter, milk fat, soy lecithin, vanilla, cornstarch, confectioner’s glaze, carnauba wax, and coloring .	https://candylandstore.com/shop/non-pariels-2/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0171.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
2416		Dark Peppermint Patties	Bite into one of these soft discs and instantly taste cool, fresh mint. As you devour a Peppermint Patty, you’ll be met with the taste of a thing coating of dark chocolate as well as the clean taste of mint, which dance together in a soft and chewy patty.	https://candylandstore.com/shop/dark-peppermint-patties/	https://candylandstore.com/wp-content/uploads/2016/09/peppermint.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Dark Chocolate > Fine Chocolates > More Fine Chocolate
